Cluster;Palavra;TF-IDF
0;solicitar;2.6562272916286322
0;protocolo;3.02307565567995
0;sobre;3.304076278441893
0;entrar;2.8569166425890256
0;comentario;3.9173782626858467
0;gostar;3.903548411540338
0;boa;3.8019354116865083
0;questionar;3.8286892813159925
0;informacao;3.843990126271293
0;tarde;3.8953993559670717
1;reset;5.467848699031832
1;senhar;5.534251153607466
1;bateria;5.789624982826589
1;club;5.119870681841348
1;acesso;4.750554087849496
1;email;3.559548430331984
1;alteracao;5.834952939267549
1;solicitar;2.6562272916286322
1;realizar;4.076677978545164
1;desejar;2.6840624291260005
2;radio;3.8292317277627084
2;codigo;3.826251907055845
2;solicitar;2.6562272916286322
2;entrar;2.8569166425890256
2;desejar;2.6840624291260005
2;desbloqueio;5.740743071329233
2;nao;2.3930626036685814
2;informar;2.5968280874969194
2;manual;4.932466730305305
2;bloquear;5.99179541076052
3;informar;2.5968280874969194
3;nao;2.3930626036685814
3;entrar;2.8569166425890256
3;conseguir;4.248354518803271
3;fazer;3.587275474350114
3;pois;3.6375043726818777
3;precisar;4.0010819846893675
3;reclamacao;3.609675721743255
3;chassi;3.1186039353506443
3;solicitar;2.6562272916286322
4;desejar;2.6840624291260005
4;saber;3.2656705511949515
4;sobre;3.304076278441893
4;banco;4.764972463273767
4;comprar;4.63421115552306
4;informacoes;3.718891769038537
4;boleto;5.288090947394697
4;pecas;4.3021696633033795
4;informar;2.5968280874969194
4;falar;4.719018431995083
5;revisao;4.109884844538167
5;agendar;5.15909139499463
5;questionar;3.8286892813159925
5;periodo;5.58006068963876
5;realizar;4.076677978545164
5;desejar;2.6840624291260005
5;sobre;3.304076278441893
5;saber;3.2656705511949515
5;fazer;3.587275474350114
5;informar;2.5968280874969194
6;consultor;3.3540866990165545
6;acompanhamento;3.9557341647109086
6;pecar;3.9029641287308445
6;entrada;4.096327733579718
6;nao;2.3930626036685814
6;envolver;3.9111753185612392
6;data;4.051629491049537
6;mail;3.502574182794727
6;reclamacao;3.609675721743255
6;reparo;4.330427614152319
7;sg;4.217082935114858
7;relacionar;5.735253579044461
7;assunto;5.400346696251886
7;contar;5.265021873620294
7;conta;5.772432582286216
7;reconsideracao;5.64293393145727
7;res;5.553844847507866
7;erro;5.2291837718149985
7;negar;5.46366750827143
7;re;5.680226388419482
8;atualizacao;5.05496240658605
8;dar;4.462360898596401
8;cadastral;6.266977320448069
8;plantao;7.245738320395736
8;sh;4.943153227401691
8;shrs;7.882645782632805
8;cadastro;5.1714754541943515
8;gs;4.86145899168968
8;horas;5.878214061957836
8;informacoes;3.718891769038537
9;fechamento;4.715721363396704
9;protocolo;3.02307565567995
9;envio;5.162173061532038
9;gerar;5.916845475098272
9;mail;3.502574182794727
9;reenvio;7.477180674524641
9;res;5.553844847507866
9;solicitacao;4.879906863053289
9;enc;6.152650907659596
9;re;5.680226388419482
